head,relation,tail,head_type,tail_type
PPID,GPI,Q08752,gene,protein
PPP2R1A,GPI,P30153,gene,protein
PRIM1,GPI,P49642,gene,protein
PRKAR1B,GPI,P31321,gene,protein
PRKCG,GPI,P05129,gene,protein
KLK7,GPI,P49862,gene,protein
PSG2,GPI,P11465,gene,protein
PSMC5,GPI,P62195,gene,protein
PTAFR,GPI,P25105,gene,protein
PTX3,GPI,O75364,gene,protein
NECTIN1,GPI,Q15223,gene,protein
RAB5C,GPI,P51148,gene,protein
RANBP1,GPI,P43487,gene,protein
RASGRF1,GPI,Q13972,gene,protein
RBL2,GPI,Q08999,gene,protein
REST,GPI,Q13127,gene,protein
RFX2,GPI,P48378,gene,protein
RGS4,GPI,P49798,gene,protein
RIT1,GPI,Q92963,gene,protein
RPE,GPI,Q96AT9,gene,protein
RPLP2,GPI,P05387,gene,protein
RPS6KB2,GPI,Q9UBS0,gene,protein
RPS12,GPI,P25398,gene,protein
RXRB,GPI,P28702,gene,protein
RYK,GPI,P34925,gene,protein
SAT1,GPI,P21673,gene,protein
SRSF1,GPI,Q07955,gene,protein
SH3BP2,GPI,P78314,gene,protein
SLC6A12,GPI,P48065,gene,protein
SLC11A1,GPI,P49279,gene,protein
SLC15A1,GPI,P46059,gene,protein
SMPD1,GPI,P17405,gene,protein
SNRPD2,GPI,P62316,gene,protein
SNRPF,GPI,P62306,gene,protein
SOX5,GPI,P35711,gene,protein
ST13,GPI,P50502,gene,protein
SULT1E1,GPI,P49888,gene,protein
SUPT5H,GPI,O00267,gene,protein
VAMP7,GPI,P51809,gene,protein
TAF4B,GPI,Q92750,gene,protein
TAF13,GPI,Q15543,gene,protein
TBX1,GPI,O43435,gene,protein
TBCD,GPI,Q9BTW9,gene,protein
ELOB,GPI,Q15370,gene,protein
TCN1,GPI,P20061,gene,protein
TCOF1,GPI,Q13428,gene,protein
THY1,GPI,P04216,gene,protein
TK2,GPI,O00142,gene,protein
TLE3,GPI,Q04726,gene,protein
TMF1,GPI,P82094,gene,protein
TPM4,GPI,P67936,gene,protein
TRPC1,GPI,P48995,gene,protein
TTF1,GPI,P43699,gene,protein
UBE3A,GPI,Q05086,gene,protein
UCP2,GPI,P55851,gene,protein
ZNF45,GPI,Q02386,gene,protein
ZNF79,GPI,Q15937,gene,protein
ZNF184,GPI,Q99676,gene,protein
ZKSCAN8,GPI,Q15776,gene,protein
