head,relation,tail,head_type,tail_type,label
460,CGI-D,C1orf105,compound,gene,2
460,CGI-D,ENAH,compound,gene,2
460,CGI-D,HS1BP3,compound,gene,2
460,CGI-D,OMG,compound,gene,2
460,CGI-D,NIT1,compound,gene,2
460,CGI-D,EDN1,compound,gene,2
460,CGI-D,AVEN,compound,gene,2
460,CGI-D,LAP3,compound,gene,2
460,CGI-D,DEPP1,compound,gene,2
460,CGI-D,YIPF6,compound,gene,2
460,CGI-D,ANXA4,compound,gene,2
462,CGI-U,GRM6,compound,gene,1
462,CGI-U,GATA3,compound,gene,1
462,CGI-U,TATDN2,compound,gene,1
462,CGI-U,UCK2,compound,gene,1
462,CGI-U,CDV3,compound,gene,1
462,CGI-U,PDIA3,compound,gene,1
462,CGI-U,MRC2,compound,gene,1
462,CGI-U,RPL30,compound,gene,1
462,CGI-D,GJA1,compound,gene,2
462,CGI-D,OXA1L,compound,gene,2
462,CGI-D,INSL4,compound,gene,2
462,CGI-D,CYB5R4,compound,gene,2
462,CGI-D,CXCR6,compound,gene,2
462,CGI-D,AKTIP,compound,gene,2
462,CGI-D,CENPI,compound,gene,2
462,CGI-D,SHB,compound,gene,2
462,CGI-D,MTMR8,compound,gene,2
462,CGI-D,NUP85,compound,gene,2
464,CGI-U,E2F2,compound,gene,1
464,CGI-U,ADGRG1,compound,gene,1
464,CGI-U,LTF,compound,gene,1
464,CGI-U,NUDT9,compound,gene,1
464,CGI-U,GADD45GIP1,compound,gene,1
464,CGI-U,SDK2,compound,gene,1
464,CGI-U,SGF29,compound,gene,1
464,CGI-U,ILKAP,compound,gene,1
464,CGI-U,PAK1,compound,gene,1
464,CGI-U,TECR,compound,gene,1
464,CGI-U,RAB4A,compound,gene,1
464,CGI-U,CRIP1,compound,gene,1
464,CGI-D,DIPK1A,compound,gene,2
464,CGI-D,PHTF2,compound,gene,2
464,CGI-D,DHX32,compound,gene,2
464,CGI-D,DNAJA3,compound,gene,2
464,CGI-D,IFT74,compound,gene,2
464,CGI-D,F9,compound,gene,2
464,CGI-D,RAP1GAP,compound,gene,2
464,CGI-D,ZNF557,compound,gene,2
464,CGI-D,SLC34A2,compound,gene,2
564,CGI-U,CARMIL1,compound,gene,1
564,CGI-U,CRYZ,compound,gene,1
564,CGI-U,SATB1,compound,gene,1
564,CGI-U,GOLM1,compound,gene,1
564,CGI-U,CHMP1A,compound,gene,1
564,CGI-U,MAPK1IP1L,compound,gene,1
564,CGI-U,PEX12,compound,gene,1
564,CGI-U,SCAMP2,compound,gene,1
564,CGI-U,HERC6,compound,gene,1
564,CGI-U,CCP110,compound,gene,1
564,CGI-U,LILRB1,compound,gene,1
564,CGI-U,ABITRAM,compound,gene,1
564,CGI-D,ORM1,compound,gene,2
564,CGI-D,FCRL2,compound,gene,2
564,CGI-D,ATG3,compound,gene,2
564,CGI-D,MGRN1,compound,gene,2
564,CGI-D,CCNB1,compound,gene,2
564,CGI-D,ANAPC2,compound,gene,2
564,CGI-D,NHEJ1,compound,gene,2
564,CGI-D,RPS4Y1,compound,gene,2
564,CGI-D,CA7,compound,gene,2
596,CGI-U,INPP1,compound,gene,1
596,CGI-U,CASP10,compound,gene,1
596,CGI-U,COL11A1,compound,gene,1
596,CGI-U,CXCL2,compound,gene,1
596,CGI-U,CNP,compound,gene,1
596,CGI-U,SERPINE1,compound,gene,1
596,CGI-U,BACH1,compound,gene,1
596,CGI-U,PDLIM5,compound,gene,1
596,CGI-U,PRR15L,compound,gene,1
596,CGI-D,PLK1,compound,gene,2
596,CGI-D,NIPSNAP1,compound,gene,2
596,CGI-D,PUF60,compound,gene,2
