UniprotID	Gene_symbol
Q07343	PDE4B
P08588	ADRB1
O00571	DDX3X
P43681	CHRNA4
P08686	CYP21A2
P21731	TBXA2R
P05093	CYP17A1
P02545	LMNA
Q9UQF2	MAPK8IP1
Q99835	SMO
Q9NUW8	TDP1
O75747	PIK3C2G
P21439	ABCB4
P31689	DNAJA1
Q15835	GRK1
Q9UQ88	CDK11A
Q96NX5	CAMK1G
Q05823	RNASEL
Q5S007	LRRK2
O00459	PIK3R2
P67870	CSNK2B
P14635	CCNB1
P27986	PIK3R1
P21127	CDK11B
Q9NS40	KCNH7
P10515	DLAT
P35462	DRD3
Q02846	GUCY2D
P48067	SLC6A9
O75469	NR1I2
Q9P0J0	NDUFA13
Q9Y6K9	IKBKG
Q9Y6A2	CYP46A1
Q86Y07	VRK2
Q8WTQ7	GRK7
Q08050	FOXM1
P34947	GRK5
P80075	CCL8
Q13370	PDE3B
P21397	MAOA
Q15067	ACOX1
Q15046	KARS1
O75496	GMNN
Q13639	HTR4
Q01196	RUNX1
P08240	SRPRA
P80098	CCL7
Q92835	INPP5D
Q9UBT6	POLK
Q9BVC4	MLST8
P12314	FCGR1A
Q07820	MCL1
P49589	CARS1
O95347	SMC2
P11216	PYGB
Q02224	CENPE
P29275	ADORA2B
O15439	ABCC4
Q16873	LTC4S
P21917	DRD4
P10586	PTPRF
Q9UNQ0	ABCG2
Q96QE3	ATAD5
Q8N4C6	NIN
Q9BRS2	RIOK1
Q86W10	CYP4Z1
Q9NQS7	INCENP
Q2M3G0	ABCB5
Q9H2J7	SLC6A15
Q9BPZ7	MAPKAP1
Q92990	GLMN
P03372	ESR1
P17931	LGALS3
P13861	PRKAR2A
P48039	MTNR1A
O00264	PGRMC1
P11217	PYGM
P0C264	SBK3
P78329	CYP4F2
P21918	DRD5
Q8NFU5	IPMK
Q96KQ7	EHMT2
P35372	OPRM1
P08670	VIM
P15538	CYP11B1
Q8N163	CCAR2
P19099	CYP11B2
P30086	PEBP1
P61925	PKIA
Q9ULK4	MED23
Q01538	MYT1
P32238	CCKAR
Q16678	CYP1B1
Q13332	PTPRS
Q8N884	CGAS
P43250	GRK6
P41143	OPRD1
Q15393	SF3B3
P06737	PYGL
Q9BVS4	RIOK2
P05108	CYP11A1
P61978	HNRNPK
P21452	TACR2
Q96RJ0	TAAR1
Q9UL51	HCN2
Q03405	PLAUR
P25929	NPY1R
P41145	OPRK1
P25103	TACR1
Q92830	KAT2A
Q00613	HSF1
P61026	RAB10
Q6N021	TET2
Q9Y3Q4	HCN4
P32298	GRK4
P08912	CHRM5
Q92793	CREBBP
P32239	CCKBR
Q9H665	IGFLR1
P46019	PHKA2
P49765	VEGFB
P49286	MTNR1B
P27338	MAOB
O95153	TSPOAP1
Q9UBU7	DBF4
Q9Y233	PDE10A
P08173	CHRM4
Q13148	TARDBP
Q9HAB3	SLC52A2
P08151	GLI1
Q6JQN1	ACAD10
P20309	CHRM3
Q99456	KRT12
P30411	BDKRB2
P49146	NPY2R
Q02880	TOP2B
O76083	PDE9A
Q9H9B1	EHMT1
P48506	GCLC
P19320	VCAM1
P11388	TOP2A
O14684	PTGES
P16473	TSHR
Q8NFT8	DNER
P04637	TP53
O60313	OPA1
Q96EB6	SIRT1
P07202	TPO
O00408	PDE2A
Q99728	BARD1
Q15059	BRD3
Q99714	HSD17B10
P43115	PTGER3
P34897	SHMT2
Q16881	TXNRD1
P16066	NPR1
P19878	NCF2
P30519	HMOX2
P09601	HMOX1
P20848	SERPINA2
P05230	FGF1
P37288	AVPR1A
Q14683	SMC1A
Q99504	EYA3
P35869	AHR
A4D1B5	GSAP
O94811	TPPP
P25440	BRD2
P47871	GCGR
P30939	HTR1F
P42224	STAT1
O95271	TNKS
Q09472	EP300
P24530	EDNRB
O95259	KCNH1
O00764	PDXK
P43351	RAD52
P04150	NR3C1
O14939	PLD2
P25101	EDNRA
P41252	IARS1
Q9UHH9	IP6K2
P18074	ERCC2
Q96FL8	SLC47A1
P61073	CXCR4
O43151	TET3
Q14974	KPNB1
P10070	GLI2
Q9Y265	RUVBL1
O15528	CYP27B1
Q9H2K2	TNKS2
Q03393	PTS
Q12888	TP53BP1
P42226	STAT6
O14924	RGS12
P30556	AGTR1
P54803	GALC
Q9UBM7	DHCR7
Q04637	EIF4G1
Q8NBN7	RDH13
Q6PL18	ATAD2
O14841	OPLAH
P28221	HTR1D
P46098	HTR3A
P51159	RAB27A
Q9Y5K8	ATP6V1D
Q9NPI1	BRD7
O76074	PDE5A
O15296	ALOX15B
P68871	HBB
O14936	CASK
P09651	HNRNPA1
P55263	ADK
P84022	SMAD3
P43220	GLP1R
P01130	LDLR
Q9GZQ8	MAP1LC3B
B1AH88	TSPO
P41212	ETV6
P41597	CCR2
P11532	DMD
O60658	PDE8A
P28222	HTR1B
Q9GZP0	PDGFD
O75900	MMP23B
P54710	FXYD2
Q9UNU6	CYP8B1
Q9H492	MAP1LC3A
P33527	ABCC1
Q14839	CHD4
Q8NFU7	TET1
Q9Y230	RUVBL2
Q14978	NOLC1
P25025	CXCR2
P34981	TRHR
O14727	APAF1
P13726	F3
Q9H4B7	TUBB1
P10145	CXCL8
Q9UQL6	HDAC5
Q9H3N8	HRH4
Q14896	MYBPC3
Q9P1Z3	HCN3
P25024	CXCR1
Q9GZQ4	NMUR2
Q9NSD9	FARSB
O14980	XPO1
P55072	VCP
P61981	YWHAG
P20674	COX5A
O15067	PFAS
P11511	CYP19A1
P34969	HTR7
O95622	ADCY5
Q8WUI4	HDAC7
Q15761	NPY5R
O14746	TERT
Q92831	KAT2B
P31327	CPS1
Q13946	PDE7A
P13945	ADRB3
O15254	ACOX3
P51681	CCR5
P80370	DLK1
P10606	COX5B
Q9P2E9	RRBP1
Q9NQS5	GPR84
P20340	RAB6A
Q8N5K1	CISD2
P31350	RRM2
Q04917	YWHAH
Q9UNA4	POLI
Q13547	HDAC1
P83916	CBX1
Q03164	KMT2A
Q12797	ASPH
Q5JPH6	EARS2
O95263	PDE8B
P34913	EPHX2
Q15843	NEDD8
P51692	STAT5B
Q9H0H5	RACGAP1
P50406	HTR6
P27695	APEX1
O43169	CYB5B
O60341	KDM1A
Q9NPD5	SLCO1B3
Q92769	HDAC2
P0DP23	CALM1
P54132	BLM
O43915	VEGFD
Q53GL7	PARP10
Q86VL8	SLC47A2
P22888	LHCGR
P43686	PSMC4
O60741	HCN1
Q9Y487	ATP6V0A2
Q96G23	CERS2
Q16850	CYP51A1
P07437	TUBB
P27482	CALML3
P17980	PSMC3
P07327	ADH1A
Q13393	PLD1
P50391	NPY4R
P62258	YWHAE
P41968	MC3R
P29371	TACR3
O94953	KDM4B
P47989	XDH
P01137	TGFB1
P01215	CGA
O75751	SLC22A3
P12236	SLC25A6
Q9NR19	ACSS2
P29973	CNGA1
P21283	ATP6V1C1
Q9BZE4	GTPBP4
P00325	ADH1B
P47898	HTR5A
Q9UKV0	HDAC9
Q16280	CNGA2
P22079	LPO
P28566	HTR1E
Q8NEY4	ATP6V1C2
Q92731	ESR2
P35368	ADRA1B
P51686	CCR9
P40763	STAT3
P68371	TUBB4B
Q8N8N7	PTGR2
P37840	SNCA
Q13574	DGKZ
Q96L73	NSD1
P08185	SERPINA6
P26196	DDX6
O15438	ABCC3
O15440	ABCC5
Q92887	ABCC2
Q6PHW0	IYD
Q9Y6L6	SLCO1B1
Q5T601	ADGRF1
Q06278	AOX1
P51679	CCR4
P49767	VEGFC
P49748	ACADVL
P25100	ADRA1D
P02585	TNNC2
Q9P0U3	SENP1
Q04206	RELA
P61024	CKS1B
Q99720	SIGMAR1
P48546	GIPR
P00918	CA2
Q9H237	PORCN
O75912	DGKI
P10275	AR
P21399	ACO1
O75164	KDM4A
P30559	OXTR
O15164	TRIM24
Q05932	FPGS
P51828	ADCY7
Q99623	PHB2
Q99816	TSG101
P54652	HSPA2
O60760	HPGDS
P18054	ALOX12
Q16647	PTGIS
Q9ULD4	BRPF3
P32248	CCR7
Q8TF61	FBXO41
P04155	TFF1
Q92633	LPAR1
P42229	STAT5A
P08729	KRT7
P10600	TGFB3
P51685	CCR8
P09884	POLA1
P12235	SLC25A4
Q9Y6I3	EPN1
O75604	USP2
P49407	ARRB1
O15550	KDM6A
P29972	AQP1
Q9HBG4	ATP6V0A4
P31391	SSTR4
P40145	ADCY8
Q16665	HIF1A
P63000	RAC1
P16662	UGT2B7
Q99519	NEU1
P60953	CDC42
Q9UIF8	BAZ2B
P33991	MCM4
Q9H3R0	KDM4C
P43088	PTGFR
Q12772	SREBF2
Q8IV61	RASGRP3
P51843	NR0B1
P12644	BMP4
P08263	GSTA1
Q8IVH4	MMAA
O00167	EYA2
P49116	NR2C2
P30872	SSTR1
P30989	NTSR1
Q15717	ELAVL1
Q5HYI8	RABL3
Q16637	SMN1
Q16637	SMN2
O15245	SLC22A1
Q99700	ATXN2
P27544	CERS1
P51511	MMP15
Q9H0A0	NAT10
Q7Z5B4	RIC3
Q03431	PTH1R
Q07108	CD69
P09210	GSTA2
P19838	NFKB1
O15244	SLC22A2
Q99572	P2RX7
P32246	CCR1
P25705	ATP5F1A
Q6ZQN7	SLCO4C1
P31946	YWHAB
P34972	CNR2
Q15238	PSG5
P04040	CAT
P47901	AVPR1B
Q14994	NR1I3
Q92482	AQP3
P09917	ALOX5
P01116	KRAS
Q93050	ATP6V0A1
Q9NTG7	SIRT3
Q8NFI3	ENGASE
Q15750	TAB1
Q99972	MYOC
Q12931	TRAP1
Q13258	PTGDR
Q13488	TCIRG1
Q9UBS5	GABBR1
Q9NXA8	SIRT5
P63104	YWHAZ
P49238	CX3CR1
Q86XF0	DHFR2
P51788	CLCN2
Q9UDY8	MALT1
Q4G0J3	LARP7
P22059	OSBP
Q92934	BAD
Q99707	MTR
P14859	POU2F1
O76054	SEC14L2
O00401	WASL
Q8NFA2	NOXO1
Q2M385	MPEG1
P05164	MPO
P48061	CXCL12
P11766	ADH5
P46721	SLCO1A2
Q8NEC5	CATSPER1
P61158	ACTR3
Q9NSE4	IARS2
P19429	TNNI3
P62942	FKBP1A
Q13885	TUBB2A
Q86YN6	PPARGC1B
P49619	DGKG
Q9UIG8	SLCO3A1
P18846	ATF1
Q13956	PDE6H
P05141	SLC25A5
Q8IXJ6	SIRT2
P16050	ALOX15
Q07889	SOS1
P30043	BLVRB
P52597	HNRNPF
P24310	COX7A1
Q05469	LIPE
O00512	BCL9
P38435	GGCX
P13569	CFTR
P16499	PDE6A
Q9NYB5	SLCO1C1
Q8WTS6	SETD7
Q92499	DDX1
Q8TDV5	GPR119
P35913	PDE6B
P50052	AGTR2
P30518	AVPR2
P20839	IMPDH1
Q15822	CHRNA2
P12268	IMPDH2
P20292	ALOX5AP
P00352	ALDH1A1
O95298	NDUFC2
Q9NR28	DIABLO
P40238	MPL
P18545	PDE6G
Q9NP56	PDE7B
P56524	HDAC4
Q9HCR9	PDE11A
P00326	ADH1C
P33151	CDH5
Q7LG56	RRM2B
O75907	DGAT1
O94788	ALDH1A2
Q14123	PDE1C
Q14534	SQLE
Q9NYX4	CALY
O60656	UGT1A9
P09429	HMGB1
P17302	GJA1
Q8IXQ6	PARP9
Q9BZ95	NSD3
Q96GW9	MARS2
P17787	CHRNB2
P11142	HSPA8
Q8N6T7	SIRT6
Q6NUS8	UGT3A1
O60755	GALR3
P30532	CHRNA5
Q9HAW7	UGT1A7
Q9NSA0	SLC22A11
O95563	MPC2
Q9H244	P2RY12
P00915	CA1
Q8N6T3	ARFGAP1
Q9NR82	KCNQ5
O95696	BRD1
P06576	ATP5F1B
O60503	ADCY9
Q7Z406	MYH14
Q9HBW0	LPAR2
Q9HBX9	RXFP1
P07814	EPRS1
P78536	ADAM17
Q8N3A8	PARP8
P08047	SP1
P27707	DCK
P11678	EPX
P32245	MC4R
P0DMV8	HSPA1A
P50747	HLCS
Q16864	ATP6V1F
P28845	HSD11B1
P11021	HSPA5
Q9UDX3	SEC14L4
P54687	BCAT1
P61812	TGFB2
P34995	PTGER1
P04899	GNAI2
P41146	OPRL1
P68366	TUBA4A
Q96RU2	USP28
Q9NRC8	SIRT7
Q9UIF9	BAZ2A
O43306	ADCY6
Q96RQ3	MCCC1
O60678	PRMT3
Q01064	PDE1B
Q7RTT9	SLC29A4
Q99598	TSNAX
P30874	SSTR2
Q96PN6	ADCY10
Q9NPD8	UBE2T
Q8TB61	SLC35B2
P21453	S1PR1
Q15125	EBP
P61160	ACTR2
P27348	YWHAQ
P11474	ESRRA
P09467	FBP1
Q13509	TUBB3
Q6W5P4	NPSR1
Q96Q83	ALKBH3
Q9UJU2	LEF1
P56373	P2RX3
P04035	HMGCR
Q14181	POLA2
Q9HAW9	UGT1A8
P05362	ICAM1
P35503	UGT1A3
Q6V1X1	DPP8
P23743	DGKA
Q14003	KCNC3
Q01453	PMP22
P10176	COX8A
O43526	KCNQ2
P17812	CTPS1
P35346	SSTR5
P26358	DNMT1
O60706	ABCC9
P08238	HSP90AB1
Q9HCN6	GP6
P30968	GNRHR
Q16720	ATP2B3
Q9Y6T7	DGKB
P45954	ACADSB
Q07864	POLE
Q5XXA6	ANO1
P13866	SLC5A1
Q9NRA0	SPHK2
Q8NET8	TRPV3
P18858	LIG1
P49682	CXCR3
P32418	SLC8A1
P11387	TOP1
Q9Y2W1	THRAP3
Q9UKK3	PARP4
Q06609	RAD51
P29475	NOS1
P01111	NRAS
P24468	NR2F2
P30926	CHRNB4
Q99571	P2RX4
O94956	SLCO2B1
P07900	HSP90AA1
P61956	SUMO2
